"Clubs",seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,Pays,Ville,lon,lat
FC Metz,6,NA,44500000,2225000,44500000,Inf,46725000,0.126313447814228,NA,7416666.66666667,France,Metz,6.1763552,49.1196964
Fluminense,15,2,115900000,10400000,105500000,1014.42307692308,126300000,0.3414315347017,5200000,7726666.66666667,Brésil,Rio de Janeiro,-43.310688597461,-22.9360291961459
Middlesbrough,13,23,1.24e+08,188910000,-64910000,-34.3602773807633,312910000,0.845901358064204,8213478.26086957,9538461.53846154,Angleterre,Middlesbrough,-1.2344047,54.5760419
Leeds,7,1,58450000,7900000,50550000,639.873417721519,66350000,0.179366447564987,7900000,8350000,Angleterre,Leeds,-1.5437941,53.7974185
Hull City,11,14,122500000,96850000,25650000,26.4842540010325,219350000,0.592977095303388,6917857.14285714,11136363.6363636,Angleterre,Hull,-0.3394758,53.7435722
Stade Rennais,27,19,205300000,124100000,81200000,65.4311039484287,329400000,0.890479394542676,6531578.94736842,7603703.7037037,France,Rennes,-1.6800198,48.1113387
Vitesse,5,1,43600000,4e+06,39600000,990,47600000,0.128678868185281,4e+06,8720000,Pays-Bas,Arnhem,5.87623450776413,52.0056642
Fenerbahce,9,33,81200000,233800000,-152600000,-65.2694610778443,3.15e+08,0.851551333579062,7084848.48484848,9022222.22222222,Turquie,Istanbul,29.0572813786792,40.997655977595
Braga,17,1,115330000,9500000,105830000,1114,124830000,0.337457628478331,9500000,6784117.64705882,Portugal,Braga,-8.4280045,41.5510583
Galatasaray,9,26,80650000,153300000,-72650000,-47.3907371167645,233950000,0.632445823780386,5896153.84615385,8961111.11111111,Turquie,Istanbul,29.0583008407841,40.9390843068131
Racing Club,11,1,72790000,3200000,69590000,2174.6875,75990000,0.205426621710073,3200000,6617272.72727273,Italie,Avellaneda,-58.3904157102968,-34.5980850248812
Montpellier,11,2,103900000,8500000,95400000,1122.35294117647,112400000,0.303855142521545,4250000,9445454.54545454,France,Montpellier,3.8767337,43.6112422
Celtic,10,10,94750000,5.2e+07,42750000,82.2115384615385,146750000,0.396714787945166,5200000,9475000,Écosse,Glasgow,-4.30712103762941,55.9798155221561
Cruzeiro,17,1,130300000,5e+06,125300000,2506,135300000,0.365761572803959,5e+06,7664705.88235294,Brésil,Belo Horizonte,-43.8511482908622,-19.9222168940444
Bari,2,2,1.9e+07,1.5e+07,4e+06,26.6666666666667,3.4e+07,0.0919134772752004,7500000,9500000,Italie,Bari,16.8620293,41.1257843
Cagliari Calcio,6,8,57200000,48900000,8300000,16.9734151329243,106100000,0.286824115849963,6112500,9533333.33333333,Italie,Cagliari,9.1128513,39.2169525
Metalist,6,9,42440000,50100000,-7660000,-15.2894211576846,92540000,0.25016685844256,5566666.66666667,7073333.33333333,Russie,Kharkiv,36.2722660718121,49.99142545
Wolves,8,16,71750000,126600000,-54850000,-43.3254344391785,198350000,0.536207006398117,7912500,8968750,Angleterre,Wolverhampton,-2.127567,52.5847651
Vélez Sarsfield,11,NA,77950000,3897500,77950000,Inf,81847500,0.221261421508293,NA,7086363.63636364,Argentine,Buenos Aires,-58.547634581464,-34.6396041033383
CF Pachuca,7,2,6.5e+07,12550000,52450000,417.92828685259,77550000,0.209643828314464,6275000,9285714.28571429,Mexique,Pachuca,-98.7413535,20.1165413
Granada CF,7,3,6e+07,13500000,46500000,344.444444444444,73500000,0.198695311168448,4500000,8571428.57142857,Espagne,Grenade,-61.6904045,12.1360374
Club Brugge,11,1,79130000,4e+06,75130000,1878.25,83130000,0.224728451937865,4e+06,7193636.36363636,Belgique,Bruges,3.226772,51.2085526
FC Sion,5,NA,39700000,1985000,39700000,Inf,41685000,0.112688626476963,NA,7940000,Suisse,Sion,7.3637051847832,46.23021515
JS Suning,3,8,34850000,118270000,-83420000,-70.5335249852033,153120000,0.413935048246432,14783750,11616666.6666667,Chine,Nankin,118.7916458,32.0609736
Saint-Étienne,16,18,136750000,87700000,49050000,55.9293044469783,224450000,0.606764116894668,4872222.22222222,8546875,France,Saint-Étienne,4.387306,45.44015
Chivas,3,4,2.5e+07,32150000,-7150000,-22.2395023328149,57150000,0.154495741949344,8037500,8333333.33333333,Mexique,Guadalajara,-2.48504400135003,40.7575324774303
Racing,6,3,116540000,21200000,95340000,449.716981132075,137740000,0.372357716467238,7066666.66666667,19423333.3333333,Espagne,Santander,-3.8099719,43.4620412
RCD Mallorca,14,6,82900000,25500000,57400000,225.098039215686,108400000,0.293041792253874,4250000,5921428.57142857,Espagne,Majorque,2.9862211,39.6594484
Desp. Brasil,10,NA,54330000,2716500,54330000,Inf,57046500,0.154215946511168,NA,5433000,Brésil,Porto Feliz,-47.5229432426634,-23.2378262
FC Twente,15,6,130630000,3.3e+07,97630000,295.848484848485,163630000,0.442347126074736,5500000,8708666.66666667,Pays-Bas,Enschede,6.87059566409799,52.22336325
R. Strasbourg,6,NA,35780000,1789000,35780000,Inf,37569000,0.101561689051529,NA,5963333.33333333,France,Strasbourg,7.7507127,48.584614
West Brom,11,26,82510000,195380000,-112870000,-57.7694748694851,277890000,0.751230476470748,7514615.38461538,7500909.09090909,Angleterre,West Bromwich,-1.9923114,52.5186579
U. de Chile,4,NA,27700000,1385000,27700000,Inf,29085000,0.0786265731338001,NA,6925000,Chili,Santiago,-70.6793876142854,-33.3675664711496
Basaksehir,1,NA,13400000,670000,13400000,Inf,14070000,0.0380359595665314,NA,13400000,Turquie,Istanbul,28.9025781113135,40.9069986285151
QPR,5,17,41640000,117520000,-75880000,-64.5677331518039,159160000,0.430263207150614,6912941.17647059,8328000,Angleterre,Londres,-0.193181386333758,51.4381903096299
CA Osasuna,9,NA,51050000,2552500,51050000,Inf,53602500,0.144905651930704,NA,5672222.22222222,Espagne,Pampelune,-1.6442556,42.8184538
Reggina,8,NA,42350000,2117500,42350000,Inf,44467500,0.120210663256911,NA,5293750,Italie,Reggio de Calabre,15.6397556,38.1035389
Rangers,4,8,40900000,33580000,7320000,21.7986896962478,74480000,0.201344581984027,4197500,10225000,Écosse,Glasgow,-4.17464811091588,55.9082476699942
Bristol City,4,NA,35450000,1772500,35450000,Inf,37222500,0.100624982584593,NA,8862500,Angleterre,Bristol,-2.5972985,51.4538022
Birmingham,16,16,91150000,77450000,13700000,17.6888315041963,168600000,0.455782713782317,4840625,5696875,Angleterre,Birmingham,-1.77424025842237,52.5879951262998
UD Las Palmas,3,NA,2.7e+07,1350000,2.7e+07,Inf,28350000,0.0766396200221156,NA,9e+06,Espagne,Las Palmas de Gran Canaria,-15.4349448,28.128874
