Name;Position;Age;Team_from;League_from;Team_to;League_to;Season;Market_value;Transfer_fee;ROI;PV
David Luiz;Centre-Back;27;Chelsea;Premier League;Paris SG;Ligue 1;2014-2015;26000000;49500000;0.903846153846154;23500000
Gylfi Sigurdsson;Attacking Midfield;27;Swansea;Premier League;Everton;Premier League;2017-2018;25000000;49400000;0.976;24400000
Gaizka Mendieta;Right Midfield;27;Valencia CF;LaLiga;Lazio;Serie A;2001-2002;NA;48000000;NA;NA
Mesut Özil;Attacking Midfield;24;Real Madrid;LaLiga;Arsenal;Premier League;2013-2014;40000000;47000000;0.175;7000000
Christian Benteke;Centre-Forward;24;Aston Villa;Premier League;Liverpool;Premier League;2015-2016;20000000;46500000;1.325;26500000
Rio Ferdinand;Centre-Back;23;Leeds;Premier League;Man Utd;Premier League;2002-2003;NA;46000000;NA;NA
Ronaldo;Centre-Forward;25;Inter;Serie A;Real Madrid;LaLiga;2002-2003;NA;45000000;NA;NA
James Rodríguez;Attacking Midfield;21;FC Porto;Liga NOS;Monaco;Ligue 1;2013-2014;23000000;45000000;0.956521739130435;22000000
Granit Xhaka;Defensive Midfield;23;Bor. M'gladbach;1.Bundesliga;Arsenal;Premier League;2016-2017;25000000;45000000;0.8;20000000
Fabinho;Defensive Midfield;24;Monaco;Ligue 1;Liverpool;Premier League;2018-2019;45000000;45000000;0;0
Vinícius Júnior;Left Winger;18;Flamengo;Série A;Real Madrid;LaLiga;2018-2019;35000000;45000000;0.285714285714286;10000000
Juan Mata;Attacking Midfield;25;Chelsea;Premier League;Man Utd;Premier League;2013-2014;38000000;44730000;0.177105263157895;6730000
Nemanja Matic;Defensive Midfield;29;Chelsea;Premier League;Man Utd;Premier League;2017-2018;35000000;44700000;0.277142857142857;9700000
Nicolás Otamendi;Centre-Back;27;Valencia CF;LaLiga;Man City;Premier League;2015-2016;25000000;44600000;0.784;19600000
Andriy Shevchenko;Centre-Forward;29;AC Milan;Serie A;Chelsea;Premier League;2006-2007;51000000;43300000;-0.150980392156863;-7700000
Robinho;Left Winger;24;Real Madrid;LaLiga;Man City;Premier League;2008-2009;34000000;43000000;0.264705882352941;9000000
