Arnhem,seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,league,Pays,Ville,Quartier,Arnhem
Molde FK,1,NA,4500000,225000,4500000,Inf,4725000,0.0127732700036859,NA,4500000,,Norvège,Molde,,Molde FK
Belgrano,1,NA,4500000,225000,4500000,Inf,4725000,0.0127732700036859,NA,4500000,,Argentine,Buenos Aires,,Belgrano
RNK Split,1,NA,4500000,225000,4500000,Inf,4725000,0.0127732700036859,NA,4500000,,Croatie,Split,,RNK Split
QD Jonoon,1,NA,4500000,225000,4500000,Inf,4725000,0.0127732700036859,NA,4500000,,Chine,Qingdao,,QD Jonoon
Legia Warszawa,2,NA,8550000,427500,8550000,Inf,8977500,0.0242692130070033,NA,4275000,,Pologne,Varsovie,,Legia Warszawa
Quilmes,1,NA,4250000,212500,4250000,Inf,4462500,0.01206364389237,NA,4250000,,Argentine,Buenos Aires,,Quilmes
Esperance,1,NA,4250000,212500,4250000,Inf,4462500,0.01206364389237,NA,4250000,,Tunisie,Tunis,,Esperance
Grasshoppers,2,NA,6200000,310000,6200000,Inf,6510000,0.017598727560634,NA,3100000,,Suisse,Berne,,Grasshoppers
Pe�arol,2,NA,7560000,378000,7560000,Inf,7938000,0.0214590936061924,NA,3780000,,Uruguay,Montevideo,,Pe�arol
SC Bastia,2,NA,8e+06,4e+05,8e+06,Inf,8400000,0.0227080355621083,NA,4e+06,,France,Bastia,,SC Bastia
Alav�s,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Espagne ,Vitoria-Gasteiz,,Alav�s
IFK G�teborg,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Suède,Göteborg,,IFK G�teborg
FK Teplice,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,République Tchèque,Teplice,,FK Teplice
Stabaek IF,2,NA,6e+06,3e+05,6e+06,Inf,6300000,0.0170310266715812,NA,3e+06,,Norvège,Bærum,,Stabaek IF
Toronto FC,1,2,4e+06,14700000,-10700000,-72.7891156462585,18700000,0.0505524125013602,7350000,4e+06,,USA,Toronto,,Toronto FC
Sparta R.,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Pays-Bas,Rotterdam,,Sparta R.
Neuch�tel Xamax,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Suisse,Neuchâtel,,Neuch�tel Xamax
CD Godoy Cruz,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Argentine,Godoy Cruz,,CD Godoy Cruz
EC Vit�ria,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Brésil,Bahia,,EC Vit�ria
Tigre,1,NA,12700000,47750000,-35050000,-73.4031413612565,60450000,0.163416755920172,NA,12700000,,Mexique,Nuevo León,,Tigre
PAOK Saloniki,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Grèce,Thessalonique,,PAOK Saloniki
H�rcules CF,1,1,4e+06,3500000,5e+05,14.2857142857143,7500000,0.0202750317518824,3500000,4e+06,,Espagne ,Alicante,,H�rcules CF
1.FC K'lautern,2,NA,7800000,390000,7800000,Inf,8190000,0.0221403346730556,NA,3900000,,Allemagne,Kaiserslautern,,1.FC K'lautern
Genclerbirligi,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Turquie,Ankara,,Genclerbirligi
Rentistas,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Uruguay,Montevideo,,Rentistas
Viktoria Plzen,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,République Tchèque,Plzeň,,Viktoria Plzen
KS Samara,1,NA,4e+06,2e+05,4e+06,Inf,4200000,0.0113540177810542,NA,4e+06,,Russie,Samara,,KS Samara
Rimini,1,NA,3930000,196500,3930000,Inf,4126500,0.0111553224698857,NA,3930000,,Italie,Rimini,,Rimini
AEK Athens,2,NA,7300000,365000,7300000,Inf,7665000,0.0207210824504238,NA,3650000,,Grèce,Athènes,,AEK Athens
Vasco U17,1,NA,3800000,190000,3800000,Inf,3990000,0.0107863168920015,NA,3800000,,Brésil,São Paulo,,Vasco U17
Wisla Krak�w,3,NA,8700000,435000,8700000,Inf,9135000,0.0246949886737928,NA,2900000,,Pologne,Cracovie,,Wisla Krak�w
Sheff Wed,1,1,3790000,11700000,-7910000,-67.6068376068376,15490000,0.0418746989115545,11700000,3790000,,Angleterre,Sheffield,,Sheff Wed
Kasimpasa,1,NA,3750000,187500,3750000,Inf,3937500,0.0106443916697383,NA,3750000,,Turquie,Istanbul,,Kasimpasa
SK Brann,1,1,3670000,2e+06,1670000,83.5,5670000,0.0153279240044231,2e+06,3670000,,Norvège,Bergen,,SK Brann
Audax Italiano,2,NA,7100000,355000,7100000,Inf,7455000,0.0201533815613711,NA,3550000,,Chili,Santiago,,Audax Italiano
Col�n,2,NA,6900000,345000,6900000,Inf,7245000,0.0195856806723184,NA,3450000,,Argentine,Santa Fe,,Col�n
Kashiwa Reysol,1,2,3500000,6500000,-3e+06,-46.1538461538462,1e+07,0.0270333756691766,3250000,3500000,,Japon,Kashiwa,,Kashiwa Reysol
Rosenborg BK,1,NA,3500000,175000,3500000,Inf,3675000,0.00993476555842239,NA,3500000,,Norvège,Trondheim,,Rosenborg BK
Elfsborg,1,NA,3500000,175000,3500000,Inf,3675000,0.00993476555842239,NA,3500000,,Suède,Borås,,Elfsborg
FC Bayern II,1,NA,3500000,175000,3500000,Inf,3675000,0.00993476555842239,NA,3500000,,Allemagne,Munich,,FC Bayern II
Metalurh Z.,1,NA,3100000,155000,3100000,Inf,3255000,0.00879936378031698,NA,3100000,,Ukraine,Zaporijia,,Metalurh Z.
Revolution,1,NA,3e+06,150000,3e+06,Inf,3150000,0.00851551333579062,NA,3e+06,,USA,Nouvelle-Angleterre,,Revolution
�rgryte,1,NA,3e+06,150000,3e+06,Inf,3150000,0.00851551333579062,NA,3e+06,,Suède,Göteborg,,�rgryte
Gimnasia,1,NA,3e+06,150000,3e+06,Inf,3150000,0.00851551333579062,NA,3e+06,,Argentine,La Plata,,Gimnasia
Arsenal U23,1,NA,3e+06,150000,3e+06,Inf,3150000,0.00851551333579062,NA,3e+06,,Angleterre,Londres,,Arsenal U23
Cobreloa,1,NA,3e+06,150000,3e+06,Inf,3150000,0.00851551333579062,NA,3e+06,,Chili,Calama,,Cobreloa
Cerro Porte�o,1,NA,2700000,135000,2700000,Inf,2835000,0.00766396200221156,NA,2700000,,Paraguay,Asuncion,,Cerro Porte�o
JEF Utd. Chiba,1,NA,2700000,135000,2700000,Inf,2835000,0.00766396200221156,NA,2700000,,Japon,Ichihara,,JEF Utd. Chiba
Sheriff,1,NA,2600000,130000,2600000,Inf,2730000,0.00738011155768521,NA,2600000,,Moldavie,Tiraspol,,Sheriff
Kashima Antlers,1,NA,2500000,125000,2500000,Inf,2625000,0.00709626111315885,NA,2500000,,Japon,Kashima,,Kashima Antlers
Albacete,1,NA,2500000,125000,2500000,Inf,2625000,0.00709626111315885,NA,2500000,,Espagne ,Albacete,,Albacete
Valerenga,1,NA,2400000,120000,2400000,Inf,2520000,0.0068124106686325,NA,2400000,,Norvège,Oslo,,Valerenga
Modena,1,NA,2250000,112500,2250000,Inf,2362500,0.00638663500184297,NA,2250000,,Italie,Modène,,Modena
KSK Beveren,1,NA,2200000,110000,2200000,Inf,2310000,0.00624470977957979,NA,2200000,,Belgique,Beveren,,KSK Beveren
Grodzisk,1,NA,2e+06,1e+05,2e+06,Inf,2100000,0.00567700889052708,NA,2e+06,,Pologne,Grodzisk,,Grodzisk
Mar�timo,1,NA,2e+06,1e+05,2e+06,Inf,2100000,0.00567700889052708,NA,2e+06,,Portugal,Madère,,Mar�timo
Arm. Bielefeld,1,NA,2e+06,1e+05,2e+06,Inf,2100000,0.00567700889052708,NA,2e+06,,Allemagne,Bielefeld,,Arm. Bielefeld
Lok. Plovdiv,1,NA,2e+06,1e+05,2e+06,Inf,2100000,0.00567700889052708,NA,2e+06,,Bulgarie,Plovdiv,,Lok. Plovdiv
Zbrojovka Brno,1,NA,2e+06,1e+05,2e+06,Inf,2100000,0.00567700889052708,NA,2e+06,,République Tchèque,Brno,,Zbrojovka Brno
Chicago Fire,1,NA,1500000,75000,1500000,Inf,1575000,0.00425775666789531,NA,1500000,,USA,Chicago,,Chicago Fire
Egaleo AO,1,NA,1500000,75000,1500000,Inf,1575000,0.00425775666789531,NA,1500000,,Grèce,Egaleo,,Egaleo AO
�sters IF,1,NA,1500000,75000,1500000,Inf,1575000,0.00425775666789531,NA,1500000,,Suède,Växjö,,�sters IF
SIPG,NA,6,0,155900000,-155900000,-100,155900000,0.421450326682463,25983333.3333333,NA,,Chine,Shanghai,,SIPG
TJ Quanjian,NA,8,0,119940000,-119940000,-100,119940000,0.324238307776104,14992500,NA,,Chine,Tianjin,,TJ Quanjian
CC Yatai,NA,1,0,23300000,-23300000,-100,23300000,0.0629877653091814,23300000,NA,,Chine,Changchun,,CC Yatai
HB CFFC,NA,15,0,150170000,-150170000,-100,150170000,0.405960202424025,10011333.3333333,NA,,Chine,Hebei,,HB CFFC
SH Shenhua,NA,7,0,67580000,-67580000,-100,67580000,0.182691552772295,9654285.71428571,NA,,Chine,Shanghai,,SH Shenhua
Atlanta United,NA,2,0,19780000,-19780000,-100,19780000,0.0534720170736313,9890000,NA,,USA,"Atlanta, Georgie",,Atlanta United
TJ Teda,NA,2,0,19250000,-19250000,-100,19250000,0.0520392481631649,9625000,NA,,Chine,Tianjin,,TJ Teda
CQ Dangdai Lif.,NA,1,0,1.2e+07,-1.2e+07,-100,1.2e+07,0.0324400508030119,1.2e+07,NA,,Chine,Chongqing,,CQ Dangdai Lif.
El-Jaish,NA,5,0,36500000,-36500000,-100,36500000,0.0986718211924945,7300000,NA,,Qatar,Doha,,El-Jaish
SZ FC,NA,2,0,18500000,-18500000,-100,18500000,0.0500117449879767,9250000,NA,,Chine,Shenzhen,,SZ FC
Ahli,NA,2,10500000,89240000,-78740000,-88.2339757956073,99740000,0.269630888924367,44620000,NA,,Qatar,Doha,,Ahli
Nasr,NA,5,0,43400000,-43400000,-100,43400000,0.117324850404226,8680000,NA,,Arabie Saoudite,Riyad,,Nasr
Pyramids FC,NA,3,0,18900000,-18900000,-100,18900000,0.0510930800147437,6300000,NA,,Égypte,Le Caire,,Pyramids FC
Ittihad,NA,2,0,12700000,-12700000,-100,12700000,0.0343323870998543,6350000,NA,,Arabie Saoudite,Djeddah,,Ittihad
Al-Nasr,NA,1,0,8e+06,-8e+06,-100,8e+06,0.0216267005353413,8e+06,NA,,Arabie Saoudite,Riyad,,Al-Nasr
Sounders FC	,NA,2,0,13160000,-13160000,-100,13160000,0.0355759223806364,6580000,NA,,USA,Seattle,,Sounders FC	
Benfica B,NA,1,0,6600000,-6600000,-100,6600000,0.0178420279416565,6600000,NA,,Portugal,Lisbonne,,Benfica B
Los Angeles,NA,2,0,15800000,-15800000,-100,15800000,0.042712733557299,7900000,NA,,USA,Los Angeles,,Los Angeles
Sharjah FC,NA,1,0,6e+06,-6e+06,-100,6e+06,0.0162200254015059,6e+06,NA,,UAE,Charjah,,Sharjah FC
Umm Salal,NA,1,0,5700000,-5700000,-100,5700000,0.0154090241314306,5700000,NA,,Qatar,Umm Salal,,Umm Salal
Los Angeles FC,NA,1,0,5700000,-5700000,-100,5700000,0.0154090241314306,5700000,NA,,USA,Los Angeles,,Los Angeles FC
Al Duhail,NA,5,0,22050000,-22050000,-100,22050000,0.0596085933505344,4410000,NA,,Qatar,Doha,,Al Duhail
Real Murcia,NA,1,0,5e+06,-5e+06,-100,5e+06,0.0135166878345883,5e+06,NA,,Espagne ,Murcie,,Real Murcia
Al-Wahda FC,NA,1,0,5e+06,-5e+06,-100,5e+06,0.0135166878345883,5e+06,NA,,UAE,Abou Dabi,,Al-Wahda FC
Padova,NA,1,0,5e+06,-5e+06,-100,5e+06,0.0135166878345883,5e+06,NA,,Italie,Padoue,,Padova
Urawa Reds,NA,3,0,10200000,-10200000,-100,10200000,0.0275740431825601,3400000,NA,,Japon,Saitama,,Urawa Reds
Girona FC,NA,2,0,1e+07,-1e+07,-100,1e+07,0.0270333756691766,5e+06,NA,,Espagne ,Gérone,,Girona FC
Benevento,NA,1,0,5e+06,-5e+06,-100,5e+06,0.0135166878345883,5e+06,NA,,Italie,Bénévent ,,Benevento
SPAL,NA,1,0,4800000,-4800000,-100,4800000,0.0129760203212048,4800000,NA,,Italie,Ferrare,,SPAL
Akhmat Grozny,NA,1,0,4500000,-4500000,-100,4500000,0.0121650190511295,4500000,NA,,Russie,Grozny,,Akhmat Grozny
Al-Wasl,NA,1,0,4100000,-4100000,-100,4100000,0.0110836840243624,4100000,NA,,UAE,Dubaï,,Al-Wasl
Saturn,NA,1,0,4e+06,-4e+06,-100,4e+06,0.0108133502676706,4e+06,NA,,Russie,Ramenskoïe,,Saturn
Milan U19,NA,1,0,4e+06,-4e+06,-100,4e+06,0.0108133502676706,4e+06,NA,,Italie,Milan,,Milan U19
Al-Shabab,NA,1,0,3600000,-3600000,-100,3600000,0.00973201524090357,3600000,NA,,Arabie Saoudite,Riyad,,Al-Shabab
Tiburones Rojos,NA,1,0,2500000,-2500000,-100,2500000,0.00675834391729414,2500000,NA,,Mexique,Veracruz,,Tiburones Rojos
Suwon Bluewings,NA,1,0,2e+06,-2e+06,-100,2e+06,0.00540667513383532,2e+06,NA,,Corée du Sud,Suwon,,Suwon Bluewings
Ulsan,NA,1,0,2e+06,-2e+06,-100,2e+06,0.00540667513383532,2e+06,NA,,Corée du Sud,Ulsan,,Ulsan
Al Ahli,NA,1,0,2e+06,-2e+06,-100,2e+06,0.00540667513383532,2e+06,NA,,Qatar,Doha,,Al Ahli
